id,description,step_no
476284,鍋中水燒開，加入薑絲,1
476284,米酒,2
476284,鹽,3
476284,雞粉熬煮5分鐘,4
476284,下入處理乾淨的蛤蜊，煮至蛤蜊打開,5
476284,嘗試味道，把湯裝到碗中，然後加入少許九層塔,6
477239,準備所有材料，鮭魚去鱗片與內臟清洗之,1
477239,鮭魚加入所有醃料醃漬60分鐘(使其入味,2
477239,醃漬完成後將鮭魚沖洗掉表面醃料(避免表面易焦黑)，用廚房紙巾吸乾表面的水份(防止煎時噴油,3
477239,起鍋，開中小火，倒入2茶匙的油，油熱後放入鮭魚，煎至底面呈金黃色,4
477239,再翻面煎至兩面金黃上色即可關火,5
477239,起鍋盛盤，切檸檬瓣(片)擺上,6
477239,"再撒上""蒜香九層塔""即完成",7
477239,美味上桌,8
477596,準備所有的食材,1
477596,鹹蛋與皮蛋去殼，切丁,2
477596,打蛋，加入所有調味料打勻,3
477596,再加入鹹蛋與皮蛋拌勻,4
477596,用平底鍋或玉子燒鍋，開小火，加入1茶匙的油，倒入,5
477596,的蛋液,6
477596,煎至半凝固即可捲起呈圓柱狀，再將其推至一端，再倒入,7
477596,的蛋液，續煎，重複步驟,8
477596,的步驟直至蛋液煎完,9
477596,每下一次蛋液前，若油量不足，可以再補上一層薄油,10
477596,完成捲取的蛋捲，可靠鍋邊緣稍整型，使其漂亮定型，外表金黃上色即可關火,11
477596,起鍋切塊,12
477596,盛盤上菜,13
474705,雞胸肉切成塊狀，用米酒稍微醃製,1
474705,將百慕達電烤盤設定至220度，待鐵板升溫，指示燈熄滅後倒入油，在熱油中加入切好的蒜末跟辣椒進行爆香，待香味出來後放旁邊備用,2
474705,雞肉下去煎，煎到大概8分熟後放入剛剛備用的蒜頭辣椒，撒上適量的鹽巴,3
474705,起鍋前，加入洗淨的九層塔進行拌炒，待香氣出來以後就可以請大家上桌吃飯了,4
478176,雞蛋洗過,1
478176,貝貝南瓜(日本栗子南瓜)，刷洗乾淨,2
478176,蘋果可以在手掌上灑鹽用雙手搓蘋果●主食我用朋友推薦的老麵蔥餅第一次買吃看看，也可以搭配喜歡的歐包或饅頭,3
478176,貝貝南瓜切舟，電鍋外鍋100CC淨水，蒸至跳起,4
478176,鍋子要煎蛋順便先烙餅的概念，蔥餅簡單回春可以這樣做，噴點淨水，鍋小火蓋鍋乾烙一面2分鐘水蒸煎軟，若沒要煎蛋，蔥餅可以放電鍋蒸,5
478176,九層塔厚蛋煎法: ●蛋打在碗裡，加(油1小匙)打散，再把洗過的九層塔葉子不要梗吃起來才細緻加進來,6
478176,鍋小火加(油1小匙)倒入蛋汁，搖晃鍋子讓蛋汁均勻平鋪在鍋中，蓋上鍋蓋悶煎1分鐘讓蛋定型,7
478176,分鐘到，打開鍋蓋用炒匙將蛋皮翻面，再次蓋鍋煎1分鐘就變成成厚蛋,8
478176,先熄火，用炒匙左右圓向內摺,9
478176,再對半摺像摺棉被一樣，就跟蔥餅大小差不多，吃的時候可以塞進蔥餅裡吃也可以用刀叉切著優雅吃,10
478176,最後，所有都備好的時再從冷凍取出冷凍莓果，用乾淨湯匙取想要的份量，今天來消滅剩下的黑莓順補補膠質清清血管,11
478176,也來點微酸甜的冷凍覆盆莓,12
478176,集合所有的好食材，加上九層塔厚蛋簡單就有台式風味早午餐，吃飽運動去,13
476026,泡沙準備好的蛤蜊，沖洗乾淨，瀝乾水分備用,1
